actual_ramp_deviation,algorithm,condition,epsilon_sum,evaluation_seed,evaluations,event_id,event_type,exceedance_probability_any,execution_days,expected_forced_spill_1e8m3,f1,f2,f3,factor,hard_physical_violation,interpretation,lookahead_days,max_control_q_m3s,max_q_safe_ratio,minimum_safety_margin_m3s,n_random_scenarios,operational_deviation,optimizer_seed,peak_reduction_pct,physical_violation,plan_constraint_violation,planning_all_feasible,probability_ci_high,probability_ci_low,profile,publication_ready,run_id,scenario_seed,seconds,seed_index,stage,strategy,tail_peak_ratio_cvar95,variant,water_curtailment
0.02761916515958701,MOABC,matched,0.049999999999999996,2290579265,64000,P01,cluster,0.0,16,9.7920105275004,0.0,13.260650415312163,0.015471366292056647,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,51172.477864097236,0.9025128371092987,5527.522135902764,512,0.1878637867929323,2573152596,-11.70975151067765,0.1878637867929323,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_full_MOABC_s00,3477972202,417.8540849997662,0,ablation,full_method,0.6210192844300967,full,0.1878637867929323
0.043361116692721906,MOABC,matched,0.049999999999999996,2660666804,64000,P01,cluster,0.0,16,8.574115727589486,0.0,12.650571412059042,0.021220166401659742,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,54992.93073817734,0.9698929583452793,1707.0692618226603,512,0.18264336906527875,3773473114,-19.451730572671508,0.18264336906527875,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_full_MOABC_s01,424694085,396.1865797000937,1,ablation,full_method,0.6578044387618739,full,0.18264336906527875
0.07093691127401747,MOABC,matched,0.049999999999999996,2310657182,64000,P01,cluster,0.0,16,8.041103143539074,0.0,12.476450451930303,0.024520537331657086,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,48429.27856407755,0.8541318970736781,8270.721435922453,512,0.21609361642148214,2256712277,-7.641608731998674,0.21609361642148214,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_full_MOABC_s02,1921158230,404.8557516001165,2,ablation,full_method,0.7446425517985095,full,0.21609361642148214
0.03329510606862734,MOABC,matched,0.05000000000000001,186546168,64000,P01,cluster,0.0,16,8.878860368020604,0.0,12.359149238972918,0.016191838604973134,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,54689.02995836362,0.9645331562321626,2010.9700416363776,512,0.16837841662560066,242140887,-19.816326317579378,0.16837841662560066,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_full_MOABC_s03,180007959,400.51293329987675,3,ablation,full_method,0.7241230028123976,full,0.16837841662560066
0.057953130588281096,MOABC,matched,0.05,1443465302,64000,P01,cluster,0.001953125,16,9.698944807544907,0.00015004480382857063,13.036590629366207,0.02088037748511628,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,58645.57298847537,1.0343134565868672,-1945.5729884753673,512,0.18373396036320597,4095586511,-1.5727632793589155,0.18373396036320597,0.0,True,0.010833656944754506,4.944762114539529e-05,screening,False,P01_matched_full_method_full_MOABC_s04,2247167902,406.09676059987396,4,ablation,full_method,0.724969043737959,full,0.18373396036320597
0.06320942282259455,MOABC,matched,0.05,2290579265,64000,P01,cluster,0.0,16,8.61059593187676,0.0,12.823975735591798,0.02608300004398208,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,53796.48588451444,0.9487916381748579,2903.514115485559,512,0.19441548107000997,2573152596,-17.437972932773178,0.19441548107000997,3.549247616674842e-17,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_no_adaptive_operator_MOABC_s00,3477972202,421.74400060018525,0,ablation,full_method,0.7591020578967853,no_adaptive_operator,0.19441548107000997
0.05919455336411518,MOABC,matched,0.05,2660666804,64000,P01,cluster,0.0,16,9.460235727099146,0.0,13.384626891297506,0.022697997436260574,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,56108.8555821778,0.9895741725251817,591.1444178222009,512,0.1836952963730665,3773473114,-21.87566310391873,0.1836952963730665,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_no_adaptive_operator_MOABC_s01,424694085,478.8933513001539,1,ablation,full_method,0.691753214937476,no_adaptive_operator,0.1836952963730665
0.02910142069307411,MOABC,matched,0.049999999999999996,2310657182,64000,P01,cluster,0.0,16,7.7920067486593805,0.0,11.415358570840178,0.020645516281946902,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,49471.14087567263,0.87250689375084,7228.8591243273695,512,0.19186514717927253,2256712277,-9.957309866157614,0.19186514717927253,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_no_adaptive_operator_MOABC_s02,1921158230,405.2477572001517,2,ablation,full_method,0.657890629290058,no_adaptive_operator,0.19186514717927253
0.03306720354995296,MOABC,matched,0.04999999999999999,186546168,64000,P01,cluster,0.0,16,7.713608147197182,0.0,11.167845478859633,0.016980208152901372,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,54596.21868528964,0.9628962731091647,2103.781314710359,512,0.1712063002034485,242140887,-19.612989271940638,0.1712063002034485,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_no_adaptive_operator_MOABC_s03,180007959,409.05952020036057,3,ablation,full_method,0.6228677827247963,no_adaptive_operator,0.1712063002034485
0.037102194189652396,MOABC,matched,0.05,1443465302,64000,P01,cluster,0.0,16,10.379337398745148,0.0,13.46996598209162,0.01542837189402695,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,54573.89625670909,0.9625025794834056,2126.103743290907,512,0.15973171181829318,4095586511,5.479285762894313,0.15973171181829318,0.0,True,0.007178950026259454,0.0,screening,False,P01_matched_full_method_no_adaptive_operator_MOABC_s04,2247167902,397.35021040029824,4,ablation,full_method,0.5643079693233523,no_adaptive_operator,0.15973171181829318
