condition,epsilon_sum,event_id,execution_days,planning_all_feasible,seed_index,strategy
normal,0.0,P06,7,True,0,no_budget
normal,0.0,P06,7,True,1,no_budget
normal,0.0,P06,7,True,2,no_budget
normal,0.0,P06,7,True,3,no_budget
normal,0.0,P06,7,True,4,no_budget
matched,0.05000000000000001,P07,6,False,0,dynamic_budget
matched,0.05,P07,6,False,1,dynamic_budget
matched,0.049999999999999996,P07,6,False,2,dynamic_budget
matched,0.049999999999999996,P07,6,False,3,dynamic_budget
matched,0.05,P07,6,False,4,dynamic_budget
matched,0.05,P07,6,False,0,fixed_budget
matched,0.05,P07,6,False,1,fixed_budget
matched,0.05,P07,6,False,2,fixed_budget
matched,0.05,P07,6,False,3,fixed_budget
matched,0.05,P07,6,False,4,fixed_budget
matched,0.05,P07,6,False,0,full_method
matched,0.05,P07,6,False,1,full_method
matched,0.05,P07,6,False,2,full_method
matched,0.05,P07,6,False,3,full_method
matched,0.05000000000000001,P07,6,False,4,full_method
matched,0.0,P07,6,True,0,no_budget
matched,0.0,P07,6,True,1,no_budget
matched,0.0,P07,6,True,2,no_budget
matched,0.0,P07,6,True,3,no_budget
matched,0.0,P07,6,True,4,no_budget
normal,0.05,P07,6,True,0,dynamic_budget
normal,0.05,P07,6,True,1,dynamic_budget
normal,0.05,P07,6,True,2,dynamic_budget
normal,0.05,P07,6,True,3,dynamic_budget
normal,0.049999999999999996,P07,6,True,4,dynamic_budget
normal,0.05,P07,6,True,0,fixed_budget
normal,0.05,P07,6,True,1,fixed_budget
normal,0.05,P07,6,True,2,fixed_budget
normal,0.05,P07,6,True,3,fixed_budget
normal,0.05,P07,6,True,4,fixed_budget
normal,0.05,P07,6,True,0,full_method
normal,0.05,P07,6,True,1,full_method
normal,0.05,P07,6,True,2,full_method
normal,0.05,P07,6,True,3,full_method
normal,0.049999999999999996,P07,6,True,4,full_method
normal,0.0,P07,6,True,0,no_budget
normal,0.0,P07,6,True,1,no_budget
normal,0.0,P07,6,True,2,no_budget
normal,0.0,P07,6,True,3,no_budget
normal,0.0,P07,6,True,4,no_budget
matched,0.05000000000000001,P08,7,False,0,dynamic_budget
matched,0.05000000000000001,P08,7,False,1,dynamic_budget
matched,0.05,P08,7,False,2,dynamic_budget
matched,0.04999999999999999,P08,7,False,3,dynamic_budget
matched,0.05,P08,7,False,4,dynamic_budget
matched,0.05,P08,7,False,0,fixed_budget
matched,0.05,P08,7,False,1,fixed_budget
matched,0.05,P08,7,False,2,fixed_budget
matched,0.05,P08,7,False,3,fixed_budget
matched,0.05,P08,7,False,4,fixed_budget
matched,0.049999999999999996,P08,7,False,0,full_method
matched,0.05,P08,7,False,1,full_method
matched,0.049999999999999996,P08,7,False,2,full_method
matched,0.049999999999999996,P08,7,False,3,full_method
matched,0.05,P08,7,False,4,full_method
matched,0.0,P08,7,True,0,no_budget
matched,0.0,P08,7,True,1,no_budget
matched,0.0,P08,7,True,2,no_budget
matched,0.0,P08,7,True,3,no_budget
matched,0.0,P08,7,True,4,no_budget
normal,0.05000000000000001,P08,7,True,0,dynamic_budget
normal,0.05000000000000001,P08,7,True,1,dynamic_budget
normal,0.05,P08,7,True,2,dynamic_budget
normal,0.049999999999999996,P08,7,True,3,dynamic_budget
normal,0.05000000000000001,P08,7,True,4,dynamic_budget
normal,0.05,P08,7,True,0,fixed_budget
normal,0.05,P08,7,True,1,fixed_budget
normal,0.05,P08,7,True,2,fixed_budget
normal,0.05,P08,7,True,3,fixed_budget
normal,0.05,P08,7,True,4,fixed_budget
normal,0.05,P08,7,True,0,full_method
normal,0.05000000000000001,P08,7,True,1,full_method
normal,0.05000000000000001,P08,7,True,2,full_method
normal,0.05,P08,7,True,3,full_method
normal,0.05,P08,7,True,4,full_method
normal,0.0,P08,7,True,0,no_budget
normal,0.0,P08,7,True,1,no_budget
normal,0.0,P08,7,True,2,no_budget
normal,0.0,P08,7,True,3,no_budget
normal,0.0,P08,7,True,4,no_budget
matched,0.04999999999999999,P01,16,False,0,dynamic_budget
matched,0.049999999999999996,P01,16,False,1,dynamic_budget
matched,0.05000000000000002,P01,16,False,2,dynamic_budget
matched,0.049999999999999996,P01,16,False,3,dynamic_budget
matched,0.05000000000000001,P01,16,False,4,dynamic_budget
matched,0.04999999999999997,P01,16,False,0,fixed_budget
matched,0.04999999999999997,P01,16,False,1,fixed_budget
matched,0.04999999999999997,P01,16,False,2,fixed_budget
matched,0.04999999999999997,P01,16,False,3,fixed_budget
matched,0.04999999999999997,P01,16,False,4,fixed_budget
matched,0.050000000000000024,P01,16,False,0,full_method
matched,0.05000000000000002,P01,16,False,1,full_method
matched,0.05,P01,16,False,2,full_method
matched,0.05000000000000002,P01,16,False,3,full_method
matched,0.049999999999999996,P01,16,False,4,full_method
matched,0.0,P01,16,False,0,no_budget
matched,0.0,P01,16,False,1,no_budget
matched,0.0,P01,16,False,2,no_budget
matched,0.0,P01,16,False,3,no_budget
matched,0.0,P01,16,False,4,no_budget
normal,0.05000000000000001,P01,16,True,0,dynamic_budget
normal,0.04999999999999998,P01,16,True,1,dynamic_budget
normal,0.05,P01,16,True,2,dynamic_budget
normal,0.049999999999999996,P01,16,True,3,dynamic_budget
normal,0.049999999999999996,P01,16,True,4,dynamic_budget
normal,0.04999999999999997,P01,16,True,0,fixed_budget
normal,0.04999999999999997,P01,16,True,1,fixed_budget
normal,0.04999999999999997,P01,16,True,2,fixed_budget
normal,0.04999999999999997,P01,16,True,3,fixed_budget
normal,0.04999999999999997,P01,16,True,4,fixed_budget
normal,0.04999999999999999,P01,16,True,0,full_method
normal,0.049999999999999996,P01,16,True,1,full_method
normal,0.05000000000000001,P01,16,True,2,full_method
normal,0.049999999999999996,P01,16,True,3,full_method
normal,0.04999999999999999,P01,16,True,4,full_method
normal,0.0,P01,16,True,0,no_budget
normal,0.0,P01,16,True,1,no_budget
normal,0.0,P01,16,True,2,no_budget
normal,0.0,P01,16,True,3,no_budget
normal,0.0,P01,16,True,4,no_budget
matched,0.05,P02,22,False,0,dynamic_budget
matched,0.05000000000000002,P02,22,False,1,dynamic_budget
matched,0.049999999999999996,P02,22,False,2,dynamic_budget
matched,0.04999999999999998,P02,22,False,3,dynamic_budget
matched,0.05000000000000002,P02,22,False,4,dynamic_budget
matched,0.05000000000000001,P02,22,False,0,fixed_budget
matched,0.05000000000000001,P02,22,False,1,fixed_budget
matched,0.05000000000000001,P02,22,False,2,fixed_budget
matched,0.05000000000000001,P02,22,False,3,fixed_budget
matched,0.05000000000000001,P02,22,False,4,fixed_budget
matched,0.049999999999999996,P02,22,False,0,full_method
matched,0.05000000000000001,P02,22,False,1,full_method
matched,0.05,P02,22,False,2,full_method
matched,0.05,P02,22,False,3,full_method
matched,0.05000000000000001,P02,22,False,4,full_method
matched,0.0,P02,22,False,0,no_budget
matched,0.0,P02,22,False,1,no_budget
matched,0.0,P02,22,False,2,no_budget
matched,0.0,P02,22,False,3,no_budget
matched,0.0,P02,22,False,4,no_budget
normal,0.04999999999999999,P02,22,True,0,dynamic_budget
normal,0.04999999999999998,P02,22,True,1,dynamic_budget
normal,0.05000000000000002,P02,22,True,2,dynamic_budget
normal,0.049999999999999996,P02,22,True,3,dynamic_budget
normal,0.049999999999999996,P02,22,True,4,dynamic_budget
normal,0.05000000000000001,P02,22,True,0,fixed_budget
normal,0.05000000000000001,P02,22,True,1,fixed_budget
normal,0.05000000000000001,P02,22,True,2,fixed_budget
normal,0.05000000000000001,P02,22,True,3,fixed_budget
normal,0.05000000000000001,P02,22,True,4,fixed_budget
normal,0.04999999999999999,P02,22,True,0,full_method
normal,0.05000000000000003,P02,22,True,1,full_method
normal,0.05000000000000003,P02,22,True,2,full_method
normal,0.04999999999999998,P02,22,True,3,full_method
normal,0.04999999999999999,P02,22,True,4,full_method
normal,0.0,P02,22,True,0,no_budget
normal,0.0,P02,22,True,1,no_budget
normal,0.0,P02,22,True,2,no_budget
normal,0.0,P02,22,True,3,no_budget
normal,0.0,P02,22,True,4,no_budget
matched,0.05000000000000002,P03,17,False,0,dynamic_budget
matched,0.049999999999999996,P03,17,False,1,dynamic_budget
matched,0.05000000000000001,P03,17,False,2,dynamic_budget
matched,0.05000000000000001,P03,17,False,3,dynamic_budget
matched,0.05,P03,17,False,4,dynamic_budget
matched,0.049999999999999975,P03,17,False,0,fixed_budget
matched,0.049999999999999975,P03,17,False,1,fixed_budget
matched,0.049999999999999975,P03,17,False,2,fixed_budget
matched,0.049999999999999975,P03,17,False,3,fixed_budget
matched,0.049999999999999975,P03,17,False,4,fixed_budget
matched,0.05000000000000002,P03,17,False,0,full_method
matched,0.05,P03,17,False,1,full_method
matched,0.05,P03,17,False,2,full_method
matched,0.05000000000000001,P03,17,False,3,full_method
matched,0.049999999999999996,P03,17,False,4,full_method
matched,0.0,P03,17,True,0,no_budget
matched,0.0,P03,17,True,1,no_budget
matched,0.0,P03,17,True,2,no_budget
matched,0.0,P03,17,True,3,no_budget
matched,0.0,P03,17,True,4,no_budget
normal,0.049999999999999996,P03,17,True,0,dynamic_budget
normal,0.05000000000000001,P03,17,True,1,dynamic_budget
normal,0.04999999999999999,P03,17,True,2,dynamic_budget
normal,0.049999999999999996,P03,17,True,3,dynamic_budget
normal,0.05000000000000002,P03,17,True,4,dynamic_budget
normal,0.049999999999999975,P03,17,True,0,fixed_budget
normal,0.049999999999999975,P03,17,True,1,fixed_budget
normal,0.049999999999999975,P03,17,True,2,fixed_budget
normal,0.049999999999999975,P03,17,True,3,fixed_budget
normal,0.049999999999999975,P03,17,True,4,fixed_budget
normal,0.05000000000000001,P03,17,True,0,full_method
normal,0.049999999999999996,P03,17,True,1,full_method
normal,0.05000000000000002,P03,17,True,2,full_method
normal,0.05,P03,17,True,3,full_method
normal,0.05,P03,17,True,4,full_method
normal,0.0,P03,17,True,0,no_budget
normal,0.0,P03,17,True,1,no_budget
normal,0.0,P03,17,True,2,no_budget
normal,0.0,P03,17,True,3,no_budget
normal,0.0,P03,17,True,4,no_budget
