condition,event_id,exceedance_probability_any_count,exceedance_probability_any_mean,exceedance_probability_any_std,f1_count,f1_mean,f1_std,f2_count,f2_mean,f2_std,f3_count,f3_mean,f3_std,factor,hard_physical_violation_count,hard_physical_violation_mean,hard_physical_violation_std,max_q_safe_ratio_count,max_q_safe_ratio_mean,max_q_safe_ratio_std,minimum_safety_margin_m3s_count,minimum_safety_margin_m3s_mean,minimum_safety_margin_m3s_std,operational_deviation_count,operational_deviation_mean,operational_deviation_std,peak_reduction_pct_count,peak_reduction_pct_mean,peak_reduction_pct_std,plan_constraint_violation_count,plan_constraint_violation_mean,plan_constraint_violation_std,seconds_count,seconds_mean,seconds_std,strategy,tail_peak_ratio_cvar95_count,tail_peak_ratio_cvar95_mean,tail_peak_ratio_cvar95_std
matched,P02,5,0.22265625,0.09959980039768059,5,0.046595680401055356,0.005908931698914657,5,255.2082365710632,64.77251940019288,5,0.06825940587834303,0.0053078604495084706,3.25,5,0.3350025851029034,0.05093316195511412,5,1.4543007178473213,0.02618066909135698,5,-25758.85070194312,1484.443937479941,5,0.37653052158128236,0.05524525329877225,5,-27.396671240871378,8.330490053950061,5,3.923603040738919e-17,3.006439529353552e-17,5,710.1855640799738,12.54198359909253,full_method,5,1.2485905126549166,0.01899433620741336
matched,P02,5,0.808984375,0.42712392226460827,5,0.03482438056607362,0.014859375954731397,5,189.09140872159077,65.72588142928385,5,0.0707506271883198,0.006210726776150646,3.25,5,0.35636473919200157,0.048958065040624686,5,1.3500960649237594,0.05505336865442182,5,-19850.446881177166,3121.526002705717,5,0.41288237173945275,0.07135184598683557,5,-18.05295771182737,4.058809341533716,5,3.7192472161293664e-17,2.289537755580997e-17,5,736.2285887800157,15.959944994034274,no_budget,5,1.189194878341878,0.0624788889521362
normal,P02,5,0.0,0.0,5,0.0,0.0,5,11.920874449656342,0.8934554282380237,5,0.02588707846414224,0.0025509940925309447,1.0,5,0.0,0.0,5,0.41582937734791925,0.01076477339223915,5,33122.47430437298,610.3626513399596,5,0.10443954249075568,0.008669260372594198,5,-0.6863290738280585,2.879650944249117,5,0.0,0.0,5,651.9775993000716,7.204447592526323,dynamic_budget,5,0.41582937734791925,0.01076477339223915
normal,P02,5,0.0,0.0,5,0.0,0.0,5,11.920874449656342,0.8934554282380237,5,0.02588707846414224,0.0025509940925309447,1.0,5,0.0,0.0,5,0.41582937734791925,0.01076477339223915,5,33122.47430437298,610.3626513399596,5,0.10443954249075568,0.008669260372594198,5,-0.6863290738280585,2.879650944249117,5,0.0,0.0,5,650.643913900014,13.01164834746933,fixed_budget,5,0.41582937734791925,0.01076477339223915
normal,P02,5,0.0,0.0,5,0.0,0.0,5,10.947192769940887,1.2213934068529573,5,0.014641665997136738,0.0011286285224795497,1.0,5,0.0,0.0,5,0.3992640750567832,0.01713323677787503,5,34061.726944280395,971.4545253055146,5,0.1004448714725235,0.0018683630234413494,5,3.3265537526075173,4.266591829211293,5,0.0,0.0,5,670.5535341399722,5.829353547818381,full_method,5,0.3992640750567832,0.01713323677787503
normal,P02,5,0.0,0.0,5,0.0,0.0,5,11.800717017409957,0.6883138422312027,5,0.026721392926884007,0.0010392029426080443,1.0,5,0.0,0.0,5,0.4139098388308059,0.01015775067175341,5,33231.3121382933,575.9444630884169,5,0.10424522930580522,0.008631367182185516,5,-0.22184184286006348,2.7610967419045904,5,3.870190220310333e-18,8.654008418468793e-18,5,634.6482576999348,16.930248182740446,no_budget,5,0.4139098388308059,0.01015775067175341
matched,P03,5,0.036328125,0.007385808750464467,5,0.03013746380485005,0.007171248142525584,5,20.77027827860038,9.421356580248348,5,0.04992013605294722,0.0029019032164381586,2.25,5,0.0,0.0,5,1.680310128940932,0.11444139546427431,5,-38573.58431095085,6488.82712282435,5,0.16523602711282362,0.02155748973810213,5,-6.087860671521258,4.380968136541373,5,2.115103957611461e-17,2.115103957611461e-17,5,479.3230534198694,14.773774556577463,dynamic_budget,5,1.1834743941215178,0.048040868676138396
matched,P03,5,0.038671875,0.01320347170402779,5,0.030505122884676984,0.017553948060747254,5,23.6265997331633,10.617905827960005,5,0.04780413404238913,0.004306453723738829,2.25,5,0.010741689213047759,0.02401914727355101,5,1.6657039199862642,0.20376188712298782,5,-37745.41226322118,11553.29899987341,5,0.17433688265111294,0.025497699357100924,5,-4.6928511440635585,3.474000999463076,5,1.2690623745668765e-17,1.891806491479224e-17,5,492.3813187199645,13.88862288957209,fixed_budget,5,1.1775830502994942,0.12474856771831834
matched,P03,5,0.03671875,0.012460263990419204,5,0.02705922732931227,0.014678454843539383,5,16.66883205218259,4.960515557055939,5,0.036803041202837436,0.010211233286948753,2.25,5,0.010803057027676729,0.02415636987869199,5,1.6291885627668627,0.20432548765610412,5,-35674.99150888111,11585.255150101102,5,0.17744858305378614,0.040252219822662916,5,-2.352255571633615,2.368894739949426,5,2.7037453040679768e-17,1.7615660336277758e-17,5,491.89215693995357,6.582636016942718,full_method,5,1.1536142741871338,0.0903747353120269
matched,P03,5,0.03671875,0.01073330598752663,5,0.03086147837278408,0.01339212580514189,5,13.58241375971715,1.0615773632996126,5,0.03493377606882816,0.0033143433177645868,2.25,5,0.013366820408574634,0.029889119076604395,5,1.692411080804461,0.17919979101955874,5,-39259.708281612926,10160.628150808983,5,0.1886304100465735,0.02296874319424541,5,-6.524128903286875,2.4556510917510512,5,4.230207915222922e-18,9.459032457396119e-18,5,445.4568125799298,13.896439971800326,no_budget,5,1.1893202716171287,0.08428234042172687
