condition,event_id,exceedance_probability_any_count,exceedance_probability_any_mean,exceedance_probability_any_std,f1_count,f1_mean,f1_std,f2_count,f2_mean,f2_std,f3_count,f3_mean,f3_std,factor,hard_physical_violation_count,hard_physical_violation_mean,hard_physical_violation_std,max_q_safe_ratio_count,max_q_safe_ratio_mean,max_q_safe_ratio_std,minimum_safety_margin_m3s_count,minimum_safety_margin_m3s_mean,minimum_safety_margin_m3s_std,operational_deviation_count,operational_deviation_mean,operational_deviation_std,peak_reduction_pct_count,peak_reduction_pct_mean,peak_reduction_pct_std,plan_constraint_violation_count,plan_constraint_violation_mean,plan_constraint_violation_std,seconds_count,seconds_mean,seconds_std,strategy,tail_peak_ratio_cvar95_count,tail_peak_ratio_cvar95_mean,tail_peak_ratio_cvar95_std
normal,P07,5,0.0,0.0,5,0.0,0.0,5,0.22180053935361332,0.22228560051580723,5,0.03207852638110216,0.0053346178146778415,1.0,5,0.0,0.0,5,0.25657150858844313,0.04562347054547748,5,42152.39546303528,2586.8507799285753,5,3.731511379929299e-05,8.343913104334965e-05,5,29.133740571627573,13.026878410973461,5,3.5492476166748416e-18,7.936358939864061e-18,5,101.5269529399462,7.744380959532828,dynamic_budget,5,0.25657150858844313,0.04562347054547749
normal,P07,5,0.0,0.0,5,0.0,0.0,5,0.22180053935361332,0.22228560051580723,5,0.03207852638110216,0.0053346178146778415,1.0,5,0.0,0.0,5,0.25657150858844313,0.04562347054547748,5,42152.39546303528,2586.8507799285753,5,3.731511379929299e-05,8.343913104334965e-05,5,29.133740571627573,13.026878410973461,5,3.5492476166748416e-18,7.936358939864061e-18,5,101.3020016998984,6.787525516278737,fixed_budget,5,0.25657150858844313,0.04562347054547749
normal,P07,5,0.0,0.0,5,0.0,0.0,5,0.04446189626748153,0.02747618740282368,5,0.023383464041101403,0.00273406665304407,1.0,5,0.0,0.0,5,0.1765132819518843,0.06703057921695238,5,46691.69691332816,3800.633841601201,5,0.0,0.0,5,51.45474573765527,18.788886066630337,5,0.0,0.0,5,111.1445166000165,2.9221658891123776,full_method,5,0.1765132819518843,0.06703057921695238
normal,P07,5,0.0,0.0,5,0.0,0.0,5,0.22180053935361332,0.22228560051580723,5,0.03207852638110216,0.0053346178146778415,1.0,5,0.0,0.0,5,0.25657150858844313,0.04562347054547748,5,42152.39546303528,2586.8507799285753,5,3.731511379929299e-05,8.343913104334965e-05,5,29.133740571627573,13.026878410973461,5,3.5492476166748416e-18,7.936358939864061e-18,5,102.65621566008777,7.825827873255393,no_budget,5,0.25657150858844313,0.04562347054547749
matched,P08,5,0.02890625,0.006680715381440262,5,0.0360320977711616,0.014628923545387905,5,3.6144100624530267,1.892805892923098,5,0.036284370157440224,0.0035476283514228103,5.5,5,0.0014210468622279445,0.003177557383154462,5,1.583430831796706,0.17501618462675383,5,-33080.528162873234,9923.417668336946,5,0.1782206330077621,0.03177909929851473,5,-3.0377492546258074,4.422829681232978,5,0.0,0.0,5,139.19641291992738,5.364831168819464,dynamic_budget,5,1.074746847408365,0.10660773035091663
matched,P08,5,0.02578125,0.005592898852842325,5,0.031997289267423984,0.01030057472562826,5,2.510353101302008,0.4563902246497417,5,0.03315709993090147,0.008027544451502796,5.5,5,0.0,0.0,5,1.5719701622648248,0.08497923998496668,5,-32430.708200415575,4818.322907147614,5,0.15920350179208187,0.03451599292891336,5,-2.7134169059754036,5.418647094720261,5,3.643589935592525e-18,8.147314778118968e-18,5,139.74294472010806,2.875457575231313,fixed_budget,5,1.0121152131076296,0.08268567537948636
matched,P08,5,0.02265625,0.012702822298053985,5,0.03003489828520751,0.016869246322445658,5,3.0195980938399885,1.316518695683508,5,0.03307945380567072,0.010822970150599957,5.5,5,0.0,0.0,5,1.497053926368288,0.15515984913122946,5,-28182.957625081926,8797.56344574071,5,0.19006745882379156,0.025001213293251258,5,2.5993319200352065,0.9437106163219862,5,0.0,0.0,5,137.87922628009693,3.4045286337125744,full_method,5,0.9667095128468999,0.1280323276899726
matched,P08,5,0.021484375,0.0023920798269366976,5,0.02512145323244221,0.00887358913952573,5,1.63947108610399,0.2747519432613951,5,0.023631774331944737,0.005387398162761599,5.5,5,0.0,0.0,5,1.5328355355004928,0.11510998483463447,5,-30211.774862877945,6526.736140123779,5,0.1897594161419313,0.03505900322411803,5,0.007430717074726134,3.781275488596329,5,7.098495233349683e-18,1.5872717879728122e-17,5,126.0288063801825,2.8921839594948384,no_budget,5,0.9186315102127816,0.030722764749491125
normal,P08,5,0.0,0.0,5,0.0,0.0,5,0.19054409443402381,0.14774856082075574,5,0.02529176636518663,0.002104121283944378,1.0,5,0.0,0.0,5,0.19899653212418622,0.05727338171700568,5,45416.89662855864,3247.4007433542242,5,0.024382034802650433,0.022575449991059794,5,8.47127316815794,26.957881512603787,5,0.0,0.0,5,119.3594918601215,4.046677313018876,dynamic_budget,5,0.19899653212418622,0.057273381717005696
normal,P08,5,0.0,0.0,5,0.0,0.0,5,0.19054409443402381,0.14774856082075574,5,0.02529176636518663,0.002104121283944378,1.0,5,0.0,0.0,5,0.19899653212418622,0.05727338171700568,5,45416.89662855864,3247.4007433542242,5,0.024382034802650433,0.022575449991059794,5,8.47127316815794,26.957881512603787,5,0.0,0.0,5,118.38663253998384,2.563335266574671,fixed_budget,5,0.19899653212418622,0.057273381717005696
normal,P08,5,0.0,0.0,5,0.0,0.0,5,0.14428095101662142,0.15211969649927817,5,0.017815945385537785,0.0026844199768549294,1.0,5,0.0,0.0,5,0.14640151266644666,0.04636140372019296,5,48399.034231812475,2628.691590934943,5,0.015271596930305784,0.02296592407723005,5,32.77533976928786,21.47854809974593,5,0.0,0.0,5,127.5155507799238,4.702334995958835,full_method,5,0.1464015126664467,0.046361403720192984
normal,P08,5,0.0,0.0,5,0.0,0.0,5,0.19054409443402381,0.14774856082075574,5,0.02529176636518663,0.002104121283944378,1.0,5,0.0,0.0,5,0.19899653212418622,0.05727338171700568,5,45416.89662855864,3247.4007433542242,5,0.024382034802650433,0.022575449991059794,5,8.47127316815794,26.957881512603787,5,0.0,0.0,5,118.32541091991588,3.6412986137661645,no_budget,5,0.19899653212418622,0.057273381717005696
