event_id,exceedance_probability_any_count,exceedance_probability_any_mean,exceedance_probability_any_std,f1_count,f1_mean,f1_std,f2_count,f2_mean,f2_std,f3_count,f3_mean,f3_std,seconds_count,seconds_mean,seconds_std,variant
P01,5,0.000390625,0.0008734640537108553,5,3.0008960765714126e-05,6.710207620626093e-05,5,12.756682429528126,0.38083936177919236,5,0.01965685722309258,0.003778922133873605,5,405.1012220399454,8.127270575704074,full
P01,5,0.0,0.0,5,0.0,0.0,5,12.452354531736146,1.0917979741335013,5,0.020367018761823574,0.00430244649742698,5,422.4589679402299,32.75504344213324,no_adaptive_operator
P01,5,0.000390625,0.0008734640537108553,5,5.425094831022136e-06,1.2130880826548231e-05,5,12.131765862432434,1.4230690135083541,5,0.018251207086454006,0.001755087909337977,5,411.9002188200131,10.089306760344876,no_lag_guidance
P01,5,0.0015625,0.0025465634395322847,5,0.00021558915140225976,0.0004501055529964874,5,13.995384830330249,3.1427395515137033,5,0.03074701695266894,0.004647343214550199,5,401.7684189800173,7.8448866207626535,no_warm_start
P02,5,0.0,0.0,5,0.0,0.0,5,11.787726606663426,1.0841562497964126,5,0.014614768799979977,0.0009257802457573852,5,687.7192907998339,19.636911027064308,full
P02,5,0.0,0.0,5,0.0,0.0,5,11.352881435941468,1.146490763685713,5,0.014851522402502104,0.002911985729506203,5,686.2145128800533,20.321907348919165,no_adaptive_operator
P02,5,0.000390625,0.0008734640537108554,5,9.308103633732045e-06,2.0813552466637656e-05,5,11.290659880927866,1.0095383349873581,5,0.014489900829857702,0.0022636469233694887,5,705.0516514399089,20.657405745856693,no_lag_guidance
P02,5,0.0,0.0,5,0.0,0.0,5,11.379082764398207,0.7181061224499674,5,0.023415942961400864,0.003319585446362976,5,688.143014700152,22.60981990401045,no_warm_start
P03,5,0.0234375,0.005348853100636388,5,0.01679143828905711,0.006247736301012505,5,5.01029201411323,1.0594846804276608,5,0.03454270284501859,0.00471733999488495,5,511.5332709199749,18.66452671784601,full
P03,5,0.028515625,0.009119232445256838,5,0.01959344694003673,0.008831238787319578,5,6.589376005577458,3.362171568365268,5,0.036392449779564955,0.006889696004116264,5,504.6143835801631,7.766822718294151,no_adaptive_operator
P03,5,0.01953125,0.004367320268554277,5,0.01518145371176154,0.007369319452311238,5,6.451501174837318,2.846780136812149,5,0.032908798927691885,0.009925476838046227,5,504.1176244201139,26.332211466279084,no_lag_guidance
P03,5,0.03984375,0.010927031820858878,5,0.029060247986885567,0.007937245099449002,5,7.437600238596619,2.6234394710427016,5,0.03837440786327607,0.007025930973608768,5,485.0505536199547,18.562740333531913,no_warm_start
