algorithm,condition,evaluations,event_id,feasible_front_size,hv,igd,seconds,seed_index
MOABC,normal,4000,P01,6,0.5232840346865089,0.4070352947386005,31.847732100170106,0
MOABC,normal,4000,P01,6,0.2793690927251421,0.6920667020132463,36.05819829972461,1
MOABC,normal,4000,P01,12,1.030920194674479,0.13738329951292472,31.597631100099534,2
MOABC,normal,4000,P01,7,0.29287789730222447,0.6570514709594611,35.6514075002633,3
MOABC,normal,4000,P01,5,0.39195984318133253,0.5711231588878763,33.96205290034413,4
MOABC,normal,4000,P01,11,0.987108490344515,0.13134203878170148,32.50547549966723,5
MOABC,normal,4000,P01,6,1.0147669529036314,0.18050482356736572,31.662860000040382,6
MOABC,normal,4000,P01,4,0.29663675631914105,0.6497278281740341,33.09769879980013,7
MOABC,normal,4000,P01,5,0.34140708740830483,0.5900730765114046,31.980490600224584,8
MOABC,normal,4000,P01,14,1.0139834911597143,0.16318549909991195,28.80151619995013,9
MOEA/D,normal,4000,P01,0,0.724971991017259,0.2932249863213903,24.52825880004093,0
MOEA/D,normal,4000,P01,0,0.5150830286165613,0.46229462350505396,24.47191199986264,1
MOEA/D,normal,4000,P01,8,0.45817655357018594,0.49921501249964817,24.760888599790633,2
MOEA/D,normal,4000,P01,3,0.5077798802328128,0.4716761659497693,24.565193699672818,3
MOEA/D,normal,4000,P01,0,0.5127796463310413,0.47845466693109334,24.333657099865377,4
MOEA/D,normal,4000,P01,0,0.3920325157623362,0.5655386343260213,24.50319969980046,5
MOEA/D,normal,4000,P01,10,0.8310229560109915,0.2626861319302077,24.4481485998258,6
MOEA/D,normal,4000,P01,10,0.9250931201468114,0.13507237328817875,24.600132500287145,7
MOEA/D,normal,4000,P01,14,1.1286174403745648,0.062386753820457365,24.762943599838763,8
MOEA/D,normal,4000,P01,9,0.8903778002551171,0.18132427392054695,24.716355700045824,9
MOPSO,normal,4000,P01,10,0.8209354360420492,0.22952528673386755,24.866644999943674,0
MOPSO,normal,4000,P01,7,1.0915262528390695,0.06854499052514514,24.809164099860936,1
MOPSO,normal,4000,P01,12,0.7853768788747344,0.21734829835373373,24.67275630030781,2
MOPSO,normal,4000,P01,12,0.9812079798534853,0.15506925267743155,24.47844299999997,3
MOPSO,normal,4000,P01,6,0.9518465142763891,0.1570476070985305,24.492812300100923,4
MOPSO,normal,4000,P01,14,0.8964258147015295,0.1517922019262096,24.72330139996484,5
MOPSO,normal,4000,P01,9,0.3050233467980911,0.6403786676596809,24.601675800047815,6
MOPSO,normal,4000,P01,11,0.37460154475477947,0.5376519256938098,24.638460699934512,7
MOPSO,normal,4000,P01,8,0.2736953698667839,0.6704018672636919,24.798406399786472,8
MOPSO,normal,4000,P01,8,0.4543041445866808,0.4987600526711134,26.515033999923617,9
NSGA-III,normal,4000,P01,0,0.5168575833914733,0.4153055289458805,36.056530999951065,0
NSGA-III,normal,4000,P01,2,0.4636077406556909,0.5203769940179447,34.304189700167626,1
NSGA-III,normal,4000,P01,3,0.37063430752808707,0.597314628666282,35.21365679986775,2
NSGA-III,normal,4000,P01,3,0.7570493175368683,0.266272392884531,35.02913110004738,3
NSGA-III,normal,4000,P01,0,0.6718219161180858,0.3925739739099594,34.469290300272405,4
NSGA-III,normal,4000,P01,5,0.2600651038562896,0.6938803385503588,34.70541809964925,5
NSGA-III,normal,4000,P01,8,0.3804490719760427,0.6126763348498346,34.64765760023147,6
NSGA-III,normal,4000,P01,9,0.43043627781827326,0.5432208076513168,34.76428439980373,7
NSGA-III,normal,4000,P01,16,0.1605674237411512,0.8316915916729105,35.110513700172305,8
NSGA-III,normal,4000,P01,12,0.22911482653959742,0.7301268555715815,33.01938930014148,9
NSGA-II,normal,4000,P01,0,0.7474925471348709,0.35222226344620927,36.339532000012696,0
NSGA-II,normal,4000,P01,11,0.5995360964407517,0.42196211822974644,33.708056500181556,1
NSGA-II,normal,4000,P01,5,0.4335489973809489,0.5221467015064624,34.1727543999441,2
NSGA-II,normal,4000,P01,12,0.39851779010426364,0.5856096913887384,35.14340509986505,3
NSGA-II,normal,4000,P01,0,0.42610558379516844,0.5151981472311916,35.35221470007673,4
NSGA-II,normal,4000,P01,4,0.29293365845070524,0.6509726750676871,34.41127589996904,5
NSGA-II,normal,4000,P01,7,0.3597645190600323,0.5796103118555958,34.203941400162876,6
NSGA-II,normal,4000,P01,0,0.8099681180728042,0.33476004076445626,36.6279064998962,7
MOABC,normal,4000,P02,8,0.07589511783465645,0.928021948528222,46.43757369974628,0
MOABC,normal,4000,P02,0,0.4324875611073082,0.5174912321535595,47.12272820016369,1
MOABC,normal,4000,P02,0,0.13110172501925646,0.8359778041675173,49.14440490026027,2
MOABC,normal,4000,P02,0,0.9459115432819976,0.11739179516256942,57.43051899969578,3
MOABC,normal,4000,P02,0,1.0118176209990077,0.21841481698383908,59.117296000011265,4
MOABC,normal,4000,P02,6,0.8568718425898096,0.189693973916972,60.3007135996595,5
MOABC,normal,4000,P02,0,0.5686669233815642,0.3976260008631392,60.680304599925876,6
MOABC,normal,4000,P02,0,0.5943886332195529,0.3050388081252568,53.69364030007273,7
MOABC,normal,4000,P02,0,1.1165159280032413,0.06736624106662188,45.66857760027051,8
MOABC,normal,4000,P02,0,0.7786795403007916,0.19821961283710715,44.2713354001753,9
MOEA/D,normal,4000,P02,3,0.7893621155079429,0.2066524018221662,31.975359400268644,0
MOEA/D,normal,4000,P02,0,0.7402894377907762,0.3074498580558481,32.20368400029838,1
MOEA/D,normal,4000,P02,0,0.7665131924840177,0.307665009236021,32.05676500033587,2
MOEA/D,normal,4000,P02,0,0.26481132654348993,0.7150385967149463,33.15981790004298,3
MOEA/D,normal,4000,P02,0,0.21632084100405963,0.7452653324336728,32.678250200115144,4
MOABC,normal,4000,P03,13,0.8395861558710886,0.17809775192029492,32.38158390019089,0
MOABC,normal,4000,P03,13,0.9571388557210762,0.16887157855643387,31.364562099799514,1
MOABC,normal,4000,P03,9,0.8295534315484527,0.16532817266871302,30.649641000200063,2
MOABC,normal,4000,P03,14,0.9425875697320478,0.12759040922917342,31.311089099850506,3
MOABC,normal,4000,P03,14,0.9499299944781887,0.13874116283765361,31.760005199816078,4
MOABC,normal,4000,P03,16,0.7631593909923688,0.21061229411113477,30.36463089985773,5
MOABC,normal,4000,P03,13,0.7296211062689311,0.2326682285835052,31.932905400171876,6
MOABC,normal,4000,P03,7,0.9861706011521164,0.11558557950097821,30.841473899781704,7
MOABC,normal,4000,P03,7,0.7755313960420835,0.19924053224703003,32.15638179983944,8
MOABC,normal,4000,P03,9,0.7289901003018948,0.22197497102158167,32.44426580006257,9
MOEA/D,normal,4000,P03,4,0.11796944577815853,0.822559301829773,27.80594089999795,0
MOEA/D,normal,4000,P03,14,0.7217496787667907,0.254793665836632,27.922306700143963,1
MOEA/D,normal,4000,P03,5,0.40757084354119283,0.47344943858333033,26.613098499830812,2
MOEA/D,normal,4000,P03,12,0.6642874444734126,0.2676521180242666,26.7019647997804,3
MOEA/D,normal,4000,P03,6,0.568105867931625,0.3216635119756653,27.25302999978885,4
MOEA/D,normal,4000,P03,13,0.5525239563059058,0.3510941154286249,28.396550400182605,5
MOEA/D,normal,4000,P03,2,0.5112157498764163,0.36932757834787655,28.268621399998665,6
MOEA/D,normal,4000,P03,10,0.6894187617567816,0.25603352763703857,28.807174200192094,7
MOEA/D,normal,4000,P03,11,0.39907463345544947,0.48572170263889564,29.2295556999743,8
MOEA/D,normal,4000,P03,13,0.45442159611554217,0.46217370830074966,28.319921400398016,9
MOPSO,normal,4000,P03,5,0.7686436511395023,0.3433820200185236,28.654991399962455,0
MOPSO,normal,4000,P03,5,0.9676438992655787,0.29145140060863256,29.777176199946553,1
MOPSO,normal,4000,P03,9,0.72483018545569,0.33185264208398063,28.29532810021192,2
MOPSO,normal,4000,P03,5,0.7832578564854399,0.34314382341132593,29.202582400292158,3
MOPSO,normal,4000,P03,11,0.6869665127698159,0.37892327191656067,28.418101700022817,4
MOPSO,normal,4000,P03,7,0.8244045292236164,0.256617252441612,28.15432950016111,5
MOPSO,normal,4000,P03,16,0.7805946209827265,0.2727596147859745,28.7248630002141,6
MOPSO,normal,4000,P03,9,0.8140946808884283,0.3277841728797307,28.322163799777627,7
MOPSO,normal,4000,P03,14,0.7405642203273545,0.2974898073090085,28.60630050022155,8
MOPSO,normal,4000,P03,6,0.8421360348335067,0.3092747202654835,29.214635000098497,9
NSGA-III,normal,4000,P03,8,0.42875839594586523,0.452416797692236,35.75153179978952,0
NSGA-III,normal,4000,P03,15,0.742695660118448,0.23068515641886167,34.89073710003868,1
NSGA-III,normal,4000,P03,7,0.31257688901237557,0.5722638489432781,37.49857500009239,2
NSGA-III,normal,4000,P03,11,0.874617997311146,0.1377844018870509,36.16241949982941,3
NSGA-III,normal,4000,P03,14,0.729778555760901,0.22501963619120494,38.32282939972356,4
NSGA-III,normal,4000,P03,7,0.4876847927049692,0.4040774145779955,41.84176900004968,5
NSGA-III,normal,4000,P03,2,0.2746003577936515,0.5922899374812526,41.46758869988844,6
NSGA-III,normal,4000,P03,9,0.8704541630272525,0.15472102088354647,38.8687001997605,7
