algorithm,condition,evaluations,event_id,seconds,seed_index
MOABC,normal,4000,P04,32.11199579993263,2
MOABC,normal,4000,P04,32.91498490003869,3
MOABC,normal,4000,P04,30.66775429993868,4
MOABC,normal,4000,P04,30.477174799889326,5
MOABC,normal,4000,P04,31.949128000065684,6
MOABC,normal,4000,P04,32.69003009982407,7
MOABC,normal,4000,P04,34.18651970010251,8
MOABC,normal,4000,P04,35.1951419999823,9
MOEA/D,normal,4000,P04,27.413101899903268,0
MOEA/D,normal,4000,P04,27.335208000149578,1
MOEA/D,normal,4000,P04,27.328235399909317,2
MOEA/D,normal,4000,P04,27.753078900277615,3
MOEA/D,normal,4000,P04,27.266657800413668,4
MOEA/D,normal,4000,P04,27.429685099981725,5
MOEA/D,normal,4000,P04,23.179370699916035,6
MOEA/D,normal,4000,P04,27.862682800274342,7
MOEA/D,normal,4000,P04,26.701844700146466,8
MOEA/D,normal,4000,P04,27.567040000110865,9
MOPSO,normal,4000,P04,27.708746599964797,0
MOPSO,normal,4000,P04,27.10296420007944,1
MOPSO,normal,4000,P04,27.61449410021305,2
MOPSO,normal,4000,P04,27.34650079999119,3
MOPSO,normal,4000,P04,27.622481499798596,4
MOPSO,normal,4000,P04,27.231100600212812,5
MOPSO,normal,4000,P04,26.038389099761844,6
MOPSO,normal,4000,P04,26.2246793997474,7
MOPSO,normal,4000,P04,27.73360660020262,8
MOPSO,normal,4000,P04,27.102751499973238,9
NSGA-III,normal,4000,P04,39.311620300170034,0
NSGA-III,normal,4000,P04,38.5656288000755,1
NSGA-III,normal,4000,P04,35.31770659983158,2
NSGA-III,normal,4000,P04,36.647432200144976,3
NSGA-III,normal,4000,P04,36.547552899923176,4
NSGA-III,normal,4000,P04,38.06416889978573,5
NSGA-III,normal,4000,P04,38.8227095999755,6
NSGA-III,normal,4000,P04,36.91342999972403,7
NSGA-III,normal,4000,P04,38.01570300012827,8
NSGA-III,normal,4000,P04,36.70013239979744,9
NSGA-II,normal,4000,P04,35.163833499886096,0
NSGA-II,normal,4000,P04,39.31846769992262,1
NSGA-II,normal,4000,P04,38.17757790023461,2
NSGA-II,normal,4000,P04,36.57435279991478,3
NSGA-II,normal,4000,P04,35.44645560020581,4
NSGA-II,normal,4000,P04,36.378269399981946,5
NSGA-II,normal,4000,P04,38.983655999880284,6
NSGA-II,normal,4000,P04,34.339124999940395,7
NSGA-II,normal,4000,P04,34.76680100010708,8
NSGA-II,normal,4000,P04,34.94242569990456,9
SPEA2,normal,4000,P04,63.632738899905235,0
SPEA2,normal,4000,P04,66.05586530035362,1
